Date,Open,High,Low,Close,Volume
2022-12-13,4870,4980,4840,4970,158080300
2022-12-12,4800,4850,4760,4850,113787500
2022-12-09,4830,4840,4760,4800,180384800
2022-12-08,4760,4840,4710,4840,137593900
2022-12-07,4840,4840,4740,4760,219528600
2022-12-06,4860,4890,4800,4860,151347200
2022-12-05,4910,4930,4860,4890,106809900
2022-12-02,4900,4930,4860,4890,200044500
2022-12-01,5000,5025,4900,4940,240171100
2022-11-30,4810,4980,4800,4980,395465800
2022-11-29,4820,4860,4790,4850,166057400
2022-11-28,4730,4830,4730,4820,195211800
2022-11-25,4700,4750,4690,4750,152038400
2022-11-24,4700,4740,4670,4720,168898100
2022-11-23,4640,4670,4630,4670,148640900
2022-11-22,4570,4670,4570,4590,154866000
2022-11-21,4620,4630,4560,4590,96343400
2022-11-18,4670,4680,4610,4610,105351900
2022-11-17,4520,4670,4500,4670,217126700
2022-11-16,4590,4610,4490,4520,249900500
2022-11-15,4580,4610,4560,4580,71985700
2022-11-14,4620,4640,4550,4580,156892500
2022-11-11,4620,4650,4590,4650,153238500
2022-11-10,4560,4580,4520,4530,173833100
2022-11-09,4600,4650,4600,4650,94722900
2022-11-08,4690,4690,4610,4620,81049600
2022-11-07,4650,4690,4610,4690,84930700
2022-11-04,4650,4660,4610,4650,73008300
2022-11-03,4630,4660,4590,4650,147388900
2022-11-02,4680,4680,4570,4610,145301400
2022-11-01,4690,4700,4630,4660,214442200
2022-10-31,4630,4680,4630,4650,227969800
2022-10-28,4600,4630,4560,4630,189534700
2022-10-27,4550,4600,4530,4600,131407700
2022-10-26,4600,4610,4500,4530,164992200
2022-10-25,4560,4610,4550,4590,237856900
2022-10-24,4430,4540,4430,4500,186997700
2022-10-21,4360,4460,4360,4430,165052200
2022-10-20,4280,4400,4280,4390,149521700
2022-10-19,4280,4340,4280,4300,81682300
2022-10-18,4280,4340,4280,4290,161444100
2022-10-17,4270,4320,4260,4300,145506000
2022-10-14,4380,4390,4270,4270,182095700
2022-10-13,4390,4420,4350,4350,104269900
2022-10-12,4470,4470,4400,4400,128747800
2022-10-11,4390,4430,4370,4430,133742200
2022-10-10,4420,4430,4340,4370,193923600
2022-10-07,4480,4490,4430,4440,133678600
2022-10-06,4540,4570,4510,4510,123346200
2022-10-05,4660,4660,4540,4540,182246200
2022-10-04,4560,4650,4560,4640,256367100
2022-10-03,4500,4550,4480,4530,159559600
2022-09-30,4450,4510,4410,4490,224229200
2022-09-29,4520,4540,4460,4480,169368600
2022-09-28,4510,4560,4480,4520,161815300
2022-09-27,4500,4550,4480,4530,213704600
2022-09-26,4480,4540,4410,4540,280747500
2022-09-23,4540,4560,4480,4480,139074000
2022-09-22,4500,4580,4500,4560,100425300
2022-09-21,4490,4550,4470,4550,159976900
2022-09-20,4570,4600,4490,4490,138695500
2022-09-19,4520,4600,4500,4570,134432000
2022-09-16,4610,4620,4500,4500,282492200
2022-09-15,4600,4700,4590,4610,295664100
2022-09-14,4520,4610,4510,4580,149960600
2022-09-13,4560,4640,4560,4580,141828800
2022-09-12,4610,4630,4560,4560,97988000
2022-09-09,4640,4640,4570,4610,119286700
2022-09-08,4480,4620,4480,4600,250373200
2022-09-07,4510,4550,4460,4460,212065700
2022-09-06,4670,4690,4550,4560,188117100
2022-09-05,4430,4600,4420,4590,261126600
2022-09-02,4410,4450,4380,4450,189113000
2022-09-01,4320,4390,4310,4390,139997700
